,Model,M,starting_alpha,eta1_0,phi1_0,time_specific_alpha,SpatialCohesion,lpml,waic,time,mse,n_singletons,n_clusters,max_cluster_size,min_cluster_size,max_pm25_diff
0,drpm,0.1,0.5,False,False,True,3,-1201.8433677902435,2381.5831325550425,27.1892306804657,1.2483586509285647,0,1.0,34,34,1.7529196359117911
1,drpm,0.1,0.5,False,False,True,4,-1217.1581848521641,2406.8397525277305,28.544268131256104,1.2382657592639517,0,1.0,34,34,1.7529196359117911
2,drpm,0.1,0.5,False,True,True,3,-1199.4431314067685,2377.9577082960677,26.984557151794434,1.255538627068418,0,1.0,34,34,1.7529196359117911
3,drpm,0.1,0.5,False,True,True,4,-1225.5181577971557,2421.4369534757748,30.676941871643066,1.1969333473406052,0,1.0,34,34,1.7529196359117911
4,drpm,0.1,0.5,True,False,True,3,-1328.5376018015158,2644.0491981492264,27.264724254608154,1.2785277595799536,0,1.0,34,34,1.7529196359117911
5,drpm,0.1,0.5,True,False,True,4,-1255.8032037863138,2485.72144118174,33.10936903953552,1.2352007836611436,0,1.0,34,34,1.7529196359117911
6,drpm,0.1,0.5,True,True,True,3,-1709.9203693734546,3407.1859242439523,27.213534116744995,1.3759950204395788,0,1.0,34,34,1.7529196359117911
7,drpm,0.1,0.5,True,True,True,4,-1766.412235680235,3499.551127869998,33.97483587265015,1.3913044236630112,0,1.0,34,34,1.7529196359117911
8,drpm,0.1,0.5,False,False,False,3,-1198.027273342529,2375.3931223024197,26.471391916275024,1.221373372564892,0,1.0,34,34,1.7529196359117911
9,drpm,0.1,0.5,False,False,False,4,-1274.9483239445183,2491.2960578247344,45.07025718688965,1.1997370910631047,0,1.0,34,34,1.7529196359117911
10,drpm,0.1,0.5,False,True,False,3,-1199.420349274091,2375.8995867430945,27.572286128997803,1.236633987322168,0,1.0,34,34,1.7529196359117911
11,drpm,0.1,0.5,False,True,False,4,-1263.626671169298,2473.000853407976,41.54777503013611,1.2153834386810134,0,1.0,34,34,1.7529196359117911
12,drpm,0.1,0.5,True,False,False,3,-1278.9918377963056,2544.9796889359873,27.003344774246216,1.2615509931522173,0,1.0,34,34,1.7529196359117911
13,drpm,0.1,0.5,True,False,False,4,-1958.1648774695075,3877.8345708092857,45.0323371887207,1.4876161846554512,0,1.0,34,34,1.7529196359117911
14,drpm,0.1,0.5,True,True,False,3,-1601.0708481226186,3189.394928651104,26.859022855758667,1.3428760461830402,0,1.0,34,34,1.7529196359117911
15,drpm,0.1,0.5,True,True,False,4,-1937.2419742256907,3836.735790804149,43.97697925567627,1.4295977826274016,0,1.0192307692307692,34,2,1.7529196359117911
