,Model,M,starting_alpha,lpml,waic,time,mse,n_singletons,n_clusters,max_cluster_size,min_cluster_size,max_pm25_diff
0,drpm,0.1,0.0,,-905.9503270301456,70.70140600204468,1.6983683713383873,0,9.423076923076923,6,2,1.4945079457601231
1,drpm,0.1,0.1,,-946.9553079903424,72.30522775650024,1.695705732342538,0,9.403846153846153,6,2,1.478352505537838
2,drpm,0.1,0.25,,-1285.3163248421636,68.71117973327637,1.6964965925443496,0,9.192307692307692,6,2,1.4945079457601231
3,drpm,0.1,0.5,inf,2043780.028244871,279.2658689022064,1.7053134452511571,10,19.75,3,1,1.478352505537838
4,drpm,0.1,0.75,,-286.3984467668819,97.4747428894043,1.706266850851022,0,11.173076923076923,6,2,1.4945079457601231
5,drpm,0.1,0.9,,-1050.7441782414935,87.46864986419678,1.6999491883275513,0,10.403846153846153,5,2,1.6208016710844153
6,drpm,1.0,0.0,,1373.3935986551078,81.79406213760376,1.6981804436740144,0,11.346153846153847,5,2,1.4945079457601231
7,drpm,1.0,0.1,,1388.497989296496,71.87567901611328,1.697040209997701,0,10.403846153846153,6,2,1.4945079457601231
8,drpm,1.0,0.25,,802.3514691755662,76.28995680809021,1.6970497538089626,0,10.73076923076923,6,2,1.6792814858013652
9,drpm,1.0,0.5,,17596.188167815766,104.63459515571594,1.703515436312378,0,13.192307692307692,4,2,1.478352505537838
10,drpm,1.0,0.75,,2839.56904864543,83.01790523529053,1.6990395889836851,0,11.5,5,2,1.4945079457601231
11,drpm,1.0,0.9,,416.56211967645066,77.03456902503967,1.693206906217995,0,10.923076923076923,6,2,1.478352505537838
12,drpm,10.0,0.0,,1754.0714624223376,75.57116103172302,1.6998127397111016,0,11.75,4,2,1.478352505537838
13,drpm,10.0,0.1,,-644.2049305462882,68.33979892730713,1.6915514895605552,0,11.115384615384615,4,2,1.6792814858013652
14,drpm,10.0,0.25,,338.2862044062972,70.49872708320618,1.6967874359879553,0,11.26923076923077,4,2,1.4945079457601231
15,drpm,10.0,0.5,,-542.7918917137544,66.06494116783142,1.692791456214796,0,11.346153846153847,4,2,1.3093333199837622
16,drpm,10.0,0.75,,150.35562860294635,71.73566699028015,1.6927437965234884,0,11.211538461538462,4,2,1.4945079457601231
17,drpm,10.0,0.9,,-43.66964025683984,70.06491184234619,1.6903892918333976,0,11.096153846153847,4,2,1.4945079457601231
18,drpm,100.0,0.0,,71348.72543547218,70.79317998886108,1.6028168331208084,2,11.173076923076923,12,1,1.478352505537838
19,drpm,100.0,0.1,,28377.54464227067,68.35038900375366,1.5431973898976257,0,10.634615384615385,12,2,1.478352505537838
20,drpm,100.0,0.25,,1050016.6204371767,67.67279410362244,1.6037678620846574,4,12.173076923076923,16,1,1.6792814858013652
21,drpm,100.0,0.5,,53782.17154897582,51.01651477813721,1.6650617823623322,6,10.038461538461538,22,1,1.6792814858013652
22,drpm,100.0,0.75,,37655.08997754364,25.9575457572937,1.3686390549417646,6,4.788461538461538,34,1,1.6792814858013652
23,drpm,100.0,0.9,-23670.343070981155,35995.311698955185,25.07289218902588,1.59471144252725,8,4.0,34,1,1.6792814858013652
