,Model,M,starting_alpha,SpatialCohesion,lpml,waic,time,mse,n_singletons,n_clusters,max_cluster_size,min_cluster_size,max_pm25_diff
0,drpm,0.1,0.0,3,,204.1610444136319,120.04697704315186,1.6966431910051791,0,5.211538461538462,16,3,1.6792814858013652
1,drpm,0.1,0.0,4,,-540.3324373585743,253.6191201210022,1.7080613320820175,0,10.038461538461538,6,2,1.541464928847895
2,drpm,0.1,0.1,3,,153.89057343052932,145.76785016059875,1.7030396720035204,0,6.115384615384615,10,4,1.7529196359117911
3,drpm,0.1,0.1,4,,-407.79081465416897,205.59466075897217,1.6935760724949962,1,8.403846153846153,8,1,1.6792814858013652
4,drpm,0.1,0.25,3,,469.8416372780524,116.68337297439575,1.6992682773729688,0,5.230769230769231,26,2,1.6208016710844153
5,drpm,0.1,0.25,4,,2011.1121257371765,325.50750517845154,1.7143492098131492,0,12.442307692307692,6,2,1.541464928847895
6,drpm,0.1,0.5,3,,177.45640991575868,142.97328400611877,1.678267374212964,0,6.0576923076923075,10,4,1.6208016710844153
7,drpm,0.1,0.5,4,,10255.701107323805,434.720223903656,1.7016641097441578,0,15.5,6,2,1.478352505537838
8,drpm,0.1,0.75,3,,2282.3883940815535,223.13089084625244,1.7022964937430245,0,8.403846153846153,12,2,1.6514021115331317
9,drpm,0.1,0.75,4,,102505.3613263032,531.3051619529724,1.701637097705385,6,17.057692307692307,6,1,1.4945079457601231
10,drpm,0.1,0.9,3,-5085.330600019855,126.93296118793366,138.2755148410797,1.6885426698078614,0,5.826923076923077,27,2,1.6514021115331317
11,drpm,0.1,0.9,4,inf,1505535.6167420244,745.2978661060333,1.7049029536745333,14,21.48076923076923,6,1,1.4945079457601231
12,drpm,1.0,0.0,3,,-131.82349770983174,162.1313328742981,1.6907702961866964,0,7.1923076923076925,13,3,1.541464928847895
13,drpm,1.0,0.0,4,,215.77857934479493,214.59997391700745,1.6976859232394361,0,9.692307692307692,21,2,1.4945079457601231
14,drpm,1.0,0.1,3,,-79.76046864023155,129.84271907806396,1.6919172304994996,0,6.038461538461538,12,3,1.541464928847895
15,drpm,1.0,0.1,4,,394.52032888345855,206.2555799484253,1.6947199780673747,2,9.134615384615385,10,1,1.6792814858013652
16,drpm,1.0,0.25,3,,-298.5359695686624,168.79231882095337,1.7077676247217355,0,7.326923076923077,10,3,1.6208016710844153
17,drpm,1.0,0.25,4,,5034.667432520926,273.45640540122986,1.7029879523130664,0,12.038461538461538,6,2,1.478352505537838
18,drpm,1.0,0.5,3,,-81.15451027286004,133.72302675247192,1.6966342726966428,1,5.923076923076923,28,1,1.6208016710844153
19,drpm,1.0,0.5,4,,1097.7120514732662,233.66056323051453,1.7037768491539356,0,10.461538461538462,6,2,1.6792814858013652
20,drpm,1.0,0.75,3,,3623.4478661320704,310.2615189552307,1.7327139602135087,0,11.442307692307692,10,2,1.6792814858013652
21,drpm,1.0,0.75,4,,1845.1073317127873,235.57347917556763,1.7116412358306736,0,10.826923076923077,6,2,1.4945079457601231
22,drpm,1.0,0.9,3,,104.64199787220215,202.08861017227173,1.6933171920945036,0,8.461538461538462,8,2,1.6208016710844153
23,drpm,1.0,0.9,4,,838.981833028895,206.49138712882996,1.7001393778909737,3,9.365384615384615,11,1,1.6792814858013652
24,drpm,10.0,0.0,3,,-218.40622963648556,151.05428624153137,1.6998275622242138,0,7.076923076923077,12,2,1.6792814858013652
25,drpm,10.0,0.0,4,,892.6761450888738,213.01051497459412,1.69383294230347,0,10.153846153846153,12,2,1.4945079457601231
26,drpm,10.0,0.1,3,,3147.5056396760065,225.17986488342285,1.7047952071549048,0,9.711538461538462,6,2,1.6208016710844153
27,drpm,10.0,0.1,4,,760.6448806401444,212.69675302505493,1.69230829378305,0,10.057692307692308,12,2,1.4945079457601231
28,drpm,10.0,0.25,3,,853.894623444137,246.37766408920288,1.6935373903899267,0,10.0,6,2,1.478352505537838
29,drpm,10.0,0.25,4,,660.5349969469398,214.13773202896118,1.7012991153717163,2,10.326923076923077,32,1,1.4945079457601231
30,drpm,10.0,0.5,3,,-10.929566268498736,147.5795590877533,1.6957534355460497,0,7.019230769230769,11,3,1.6208016710844153
31,drpm,10.0,0.5,4,,1273.9012990259832,225.15600681304932,1.7048466220562628,0,10.923076923076923,5,2,1.4945079457601231
32,drpm,10.0,0.75,3,,-431.0646610754291,150.93874502182007,1.691809885763105,0,7.153846153846154,8,2,1.6792814858013652
33,drpm,10.0,0.75,4,,3706.516167586733,224.82707405090332,1.706576049406923,0,10.98076923076923,4,2,1.478352505537838
34,drpm,10.0,0.9,3,,1279.0362673576496,262.1414840221405,1.7086850555467559,0,10.692307692307692,6,2,1.541464928847895
35,drpm,10.0,0.9,4,,5950.455762319423,228.54878997802734,1.7024975988108497,0,11.423076923076923,6,2,1.478352505537838
36,drpm,100.0,0.0,3,,-275.3235579035196,162.6656789779663,1.7003032580791553,0,8.26923076923077,21,2,1.478352505537838
37,drpm,100.0,0.0,4,,11963.972631409522,197.11775994300842,1.691584237542104,0,11.365384615384615,8,2,1.541464928847895
38,drpm,100.0,0.1,3,,3093.539982557771,247.43700194358826,1.7014881582868737,0,11.057692307692308,6,2,1.6208016710844153
39,drpm,100.0,0.1,4,,1141.921346882139,163.08915996551514,1.6877779146571354,0,10.461538461538462,4,2,1.2895769416180844
40,drpm,100.0,0.25,3,,10192.492829717366,307.36159467697144,1.7049387707081203,0,12.75,6,2,1.4945079457601231
41,drpm,100.0,0.25,4,,2272.6986092184434,160.4917130470276,1.707860267710187,0,10.326923076923077,4,2,1.478352505537838
42,drpm,100.0,0.5,3,,-147.66929956256803,153.48555302619934,1.7016258057586104,0,7.9423076923076925,10,2,1.4945079457601231
43,drpm,100.0,0.5,4,,5233.742094449883,177.9003508090973,1.716223197306785,0,10.75,6,2,1.4945079457601231
44,drpm,100.0,0.75,3,,10394.839143376203,316.41049814224243,1.7170716198698819,0,12.923076923076923,6,2,1.478352505537838
45,drpm,100.0,0.75,4,,6148.960118637133,178.8373200893402,1.6875097144550817,0,11.0,5,2,1.478352505537838
46,drpm,100.0,0.9,3,,446.5276217046492,156.2802038192749,1.6986402882611022,0,8.01923076923077,11,2,1.478352505537838
47,drpm,100.0,0.9,4,,1819.6526273307945,160.09282302856445,1.6918841706452588,0,10.346153846153847,5,2,1.2895769416180844
